post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
150822780.why-did-milennials-do-the-stupid,,false,,,newsletter,only_paid,,,
150821590.tips-to-climb-out-of-a-deep-dark,2024-10-28T07:06:07.577Z,true,2024-10-28T07:06:07.687Z,2024-10-28T07:06:07.687Z,newsletter,everyone,Tips to climb out of a deep dark hole: static vs growth mindset,"No, genetics are not an excuse to stop working on being a decent person",
150818901.6c3,,false,,,newsletter,only_paid,,,
150784248.negative-and-imaginary-information,,false,,,newsletter,only_paid,,,
150656992.d44,,false,,,newsletter,only_paid,,,
150598093.societies-use-machine-language,2017-08-18T11:42:00.000Z,true,,,newsletter,everyone,Societies Use Machine Language,,
150593714.inertia-and-spacetime-in-a-social,,false,,,newsletter,only_paid,,,
150574740.quantum-mechanics-and-institutions,2024-10-23T02:33:10.425Z,true,2024-10-23T02:33:10.638Z,2024-10-23T02:33:10.638Z,newsletter,everyone,Quantum mechanics and institutions,"Could institutions give us insight into quantum mechanics, and even our own consciousness? ",
150545653.behavioral-independence,2014-06-05T09:15:00.000Z,true,,,newsletter,everyone,Behavioral independence,,
150545640.institutions-hierarchies-and-fractals,2014-06-02T14:09:00.000Z,true,,,newsletter,everyone,"Institutions, Hierarchies and Fractals",,
150545622.from-abstraction-to-reality,2014-11-04T14:57:00.000Z,true,,,newsletter,everyone,From abstraction to reality,,
150545607.subtraction-as-abstraction,2017-02-05T12:32:00.000Z,true,,,newsletter,everyone,Subtraction as Abstraction,,
150545594.social-physics,2017-12-19T03:28:00.000Z,true,,,newsletter,everyone,Social Physics,,
150545496.economic-strategies-and-how-to-bridge,2017-03-06T03:23:00.000Z,true,,,newsletter,everyone,Economic strategies and how to bridge the communication gap,,
150545479.what-is-happening,2017-01-19T06:16:00.000Z,true,,,newsletter,everyone,What is happening?,,
150545436.language-and-degrees-of-freedom,2018-02-09T03:20:00.000Z,true,,,newsletter,everyone,Language and degrees of freedom,,
150545272.information-and-the-income-gap,2020-08-22T03:11:00.000Z,true,,,newsletter,everyone,Information and the income gap,,
150545240.theories-of-historical-change,2020-08-25T03:10:00.000Z,true,,,newsletter,everyone,Theories of historical change,,
150545205.life-cycle-of-an-institution,2014-06-09T09:47:00.000Z,true,,,newsletter,everyone,Life cycle of an institution,,
150483076.precision-time-and-money,,false,,,newsletter,only_paid,,,
150472083.time-energy-and-work,2024-10-20T17:11:44.786Z,true,2024-10-20T17:11:44.857Z,2024-10-20T17:11:44.857Z,newsletter,everyone,"Time, energy, and work",Is there a physical relationship between how much money you spend and how quickly you can get something? ,
150471945.institutions-as-life-forms-why-it,,false,,,newsletter,only_paid,,,
